data-page-selector,full_address,County,Property Type,Subtype,Tenancy,Total Building SqFt,Total Building Suites,has_parking,Vacant SqFt
https://www.crexi.com/lease/properties/863866/california-411-15th-ave,"411 15th Ave, San Francisco, CA 94118",San Francisco County,"Retail, Office, Restaurant",Executive Office,Multiple,"1,542",2,FALSE,"1,542"
https://www.crexi.com/lease/properties/1041653/california-1019-5th-street,"500 J St, Marysville, CA 95901",,"Retail, Office, Restaurant",Traditional Office,Multiple,"15,010",,TRUE,"6,280"
https://www.crexi.com/lease/properties/973571/california-park-village,"1414 Park Ave, Chico, CA 95928",Butte County,"Retail, Office, Restaurant","Executive Office, Commercial",Single,"1,789",,TRUE,"1,789"
https://www.crexi.com/lease/properties/108166/california-town-center-west-shopping-center,"209-345 Town Center West, Santa Maria, CA 93458",Santa Barbara County,"Retail, Office, Restaurant",Shopping Center,Multiple,"61,000",,FALSE,"3,108"
https://www.crexi.com/lease/properties/1027703/california-sec-highway-41-and-hanford---armona,"19242 W Hanford Armona Rd, Lemoore, CA 93245",Kings County,"Retail, Office, Restaurant","Shop Space, QSR, Drive Thru, Land",Multiple,"26,488",10,FALSE,"26,488"
https://www.crexi.com/lease/properties/959062/california-suite-200,"1007 Voyager Dr, Tehachapi, CA 93561",,"Retail, Office, Restaurant",Medical Office,Multiple,"6,055",4,FALSE,"4,200"
https://www.crexi.com/lease/properties/938782/california-1500-1512-sunnyvale-ave-walnut-creek-ca-94597,"1500-1512 Sunnyvale Ave, Walnut Creek, CA 94597",Contra Costa County,"Retail, Office, Restaurant","Traditional Office, Medical Office",Multiple,"8,460",,FALSE,"1,536"
https://www.crexi.com/lease/properties/929047/california-52-mission-circle,"52 Mission Cir, Santa Rosa, CA 95409",Sonoma County,"Retail, Office, Restaurant","Executive Office, Shopping Center, Bar",Multiple,"2,520",,TRUE,855
https://www.crexi.com/lease/properties/965007/california-3165-broad-st,"3165 Broad St, San Luis Obispo, CA 93401",,"Retail, Office, Restaurant","Executive Office, Commercial, Office",Multiple,"3,840",1,TRUE,"1,640"
https://www.crexi.com/lease/properties/975512/california-thomas-winery-plaza,"8916 Foothill Blvd, Rancho Cucamonga, CA 91730",,"Retail, Office, Restaurant","Creative Office, Traditional Office, Medical Office",Multiple,"96,636",38,TRUE,"12,773"
